Year,Month,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions),date,year_month
2007,3,307,0.020992,0.021714,0.0643905,2007-03-01,2007-03
2007,4,362,0.054944,0.07,0.220896,2007-04-01,2007-04
2007,5,447,0.107733,0.15,0.483709,2007-05-01,2007-05
2007,6,527,0.175652,0.233661,0.720102,2007-06-01,2007-06
2007,7,681,0.268499,0.354298,1.06537,2007-07-01,2007-07
2007,8,819,0.432555,0.516239,1.57991,2007-08-01,2007-08
2007,9,960,0.635761,0.669689,2.06969,2007-09-01,2007-09
2007,10,1196,0.875962,0.958908,2.82955,2007-10-01,2007-10
2007,11,1379,1.1332,1.22174,3.51495,2007-11-01,2007-11
2007,12,1582,1.34527,1.2741,3.77027,2007-12-01,2007-12
2008,1,1812,1.5891,1.34683,4.05904,2008-01-01,2008-01
2008,2,2067,1.82153,1.7399,5.21979,2008-02-01,2008-02
2008,3,2329,2.07553,2.3975,6.74745,2008-03-01,2008-03
2008,4,2606,2.37346,3.07289,8.38964,2008-04-01,2008-04
2008,5,2770,2.71813,4.02127,10.9042,2008-05-01,2008-05
2008,6,3011,3.03852,4.20144,10.9172,2008-06-01,2008-06
2008,7,3378,3.36719,5.39108,14.0171,2008-07-01,2008-07
2008,8,3761,3.72618,6.34241,16.7563,2008-08-01,2008-08
2008,9,4230,4.14304,7.15191,19.2699,2008-09-01,2008-09
2008,10,4781,4.42028,8.30365,21.6007,2008-10-01,2008-10
2008,11,5399,4.75139,8.56681,21.7,2008-11-01,2008-11
2008,12,6104,5.08247,10.2051,26.99,2008-12-01,2008-12
2009,1,7304,5.47828,10.1906,27.0749,2009-01-01,2009-01
2009,2,7512,5.81602,11.0793,28.6863,2009-02-01,2009-02
2009,3,13358,6.28952,13.5541,33.8202,2009-03-01,2009-03
2009,4,14790,6.53192,13.7796,34.0201,2009-04-01,2009-04
2009,5,16029,6.8427,15.0488,36.8062,2009-05-01,2009-05
2009,6,16641,7.19062,15.9846,38.1756,2009-06-01,2009-06
2009,7,18504,7.42641,16.8986,40.3374,2009-07-01,2009-07
2009,8,18780,7.7141,17.0104,40.6787,2009-08-01,2009-08
2009,9,19803,8.01624,18.3703,45.3683,2009-09-01,2009-09
2009,10,20631,8.36803,19.92,48.6365,2009-10-01,2009-10
2009,11,22476,8.61529,19.975,47.4656,2009-11-01,2009-11
2009,12,23012,8.88258,21.6891,52.3417,2009-12-01,2009-12
2010,1,24850,9.4767,20.0767,48.4625,2010-01-01,2010-01
2010,2,25394,9.67495,20.8087,49.9055,2010-02-01,2010-02
2010,3,27622,9.97211,24.0758,56.1167,2010-03-01,2010-03
2010,4,29570,10.2026,22.6933,51.8136,2010-04-01,2010-04
